file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/queryhandling/NoHandlerForQueryException.java,org.axonframework.messaging.queryhandling.NoHandlerForQueryException,NoHandlerForQueryException/1[java.lang.String],true,72,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/queryhandling/NoHandlerForQueryException.java,org.axonframework.messaging.queryhandling.NoHandlerForQueryException,forBus/1[org.axonframework.messaging.queryhandling.QueryMessage],false,38,3,3,1,2,1,2,3,1,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,38,9,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/queryhandling/NoHandlerForQueryException.java,org.axonframework.messaging.queryhandling.NoHandlerForQueryException,forHandlingComponent/1[org.axonframework.messaging.queryhandling.QueryMessage],false,57,3,3,1,2,1,2,3,1,0,1,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,58,9,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/stash/todo/src/test/java/org/axonframework/integrationtests/polymorphic/CommonCommand.java,org.axonframework.integrationtests.polymorphic.CommonCommand,getId/0,false,35,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/stash/todo/src/test/java/org/axonframework/integrationtests/polymorphic/CommonCommand.java,org.axonframework.integrationtests.polymorphic.CommonCommand,CommonCommand/1[java.lang.String],true,31,0,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/test/src/main/java/org/axonframework/test/matchers/ListMatcher.java,org.axonframework.test.matchers.ListMatcher,reportFailed/1[org.axonframework.test.matchers.Matcher<? super T>],false,89,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/test/src/main/java/org/axonframework/test/matchers/ListMatcher.java,org.axonframework.test.matchers.ListMatcher,failedMatcherMessage/0,false,139,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/test/src/main/java/org/axonframework/test/matchers/ListMatcher.java,org.axonframework.test.matchers.ListMatcher,matchRemainder/1[java.util.Iterator<org.axonframework.test.matchers.Matcher<? super T>>],false,72,1,0,0,0,3,4,10,2,1,1,4,0,0,1,0,0,0,0,0,1,0,2,0,0,0,26,4,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/test/src/main/java/org/axonframework/test/matchers/ListMatcher.java,org.axonframework.test.matchers.ListMatcher,describeCollectionType/1[org.axonframework.test.matchers.Description],false,102,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1028,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/test/src/main/java/org/axonframework/test/matchers/ListMatcher.java,org.axonframework.test.matchers.ListMatcher,matches/1[java.lang.Object],false,51,1,1,0,1,1,2,3,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/test/src/main/java/org/axonframework/test/matchers/ListMatcher.java,org.axonframework.test.matchers.ListMatcher,getMatchers/0,false,98,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/test/src/main/java/org/axonframework/test/matchers/ListMatcher.java,org.axonframework.test.matchers.ListMatcher,getLastSeparator/0,false,148,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,4,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/test/src/main/java/org/axonframework/test/matchers/ListMatcher.java,org.axonframework.test.matchers.ListMatcher,ListMatcher/1[org.axonframework.test.matchers.Matcher<? super T>[]],true,45,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,4,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/test/src/main/java/org/axonframework/test/matchers/ListMatcher.java,org.axonframework.test.matchers.ListMatcher,matchesList/1[java.util.List<T>],false,55,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1028,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/test/src/main/java/org/axonframework/test/matchers/ListMatcher.java,org.axonframework.test.matchers.ListMatcher,describeTo/1[org.axonframework.test.matchers.Description],false,111,2,3,0,3,7,6,23,0,1,1,6,0,0,1,2,0,0,9,5,1,2,2,0,0,0,14,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/eventhandling/deadletter/jpa/DeadLetterJpaConverter.java,org.axonframework.messaging.eventhandling.deadletter.jpa.DeadLetterJpaConverter,"convert/3[org.axonframework.messaging.eventhandling.deadletter.jpa.DeadLetterEventEntry,org.axonframework.messaging.eventhandling.deadletter.jpa.EventConverter,org.axonframework.messaging.eventhandling.deadletter.jpa.Converter]",false,62,5,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/eventhandling/deadletter/jpa/DeadLetterJpaConverter.java,org.axonframework.messaging.eventhandling.deadletter.jpa.DeadLetterJpaConverter,"convert/4[M,org.axonframework.messaging.core.Context,org.axonframework.messaging.eventhandling.deadletter.jpa.EventConverter,org.axonframework.messaging.eventhandling.deadletter.jpa.Converter]",false,39,6,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/stash/todo/src/main/java/org/axonframework/common/stream/StreamUtils.java,org.axonframework.common.stream.StreamUtils,asStream/1[org.axonframework.common.stream.BlockingStream<M>],false,47,2,1,0,1,1,2,16,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,57,9,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/stash/todo/src/main/java/org/axonframework/common/stream/StreamUtils.java,org.axonframework.common.stream.StreamUtils,StreamUtils/0,true,34,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/core/DefaultMessageDispatchInterceptorChain.java,org.axonframework.messaging.core.DefaultMessageDispatchInterceptorChain$InterceptingDispatcher,"InterceptingDispatcher/2[org.axonframework.messaging.core.MessageDispatchInterceptor<? super M>,java.util.function.BiFunction<? super M,org.axonframework.messaging.core.unitofwork.ProcessingContext,org.axonframework.messaging.core.MessageStream<?>>]",true,90,3,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/core/DefaultMessageDispatchInterceptorChain.java,org.axonframework.messaging.core.DefaultMessageDispatchInterceptorChain$InterceptingDispatcher,"apply/2[M,org.axonframework.messaging.core.unitofwork.ProcessingContext]",false,101,6,2,0,2,2,2,8,2,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/core/DefaultMessageDispatchInterceptorChain.java,org.axonframework.messaging.core.DefaultMessageDispatchInterceptorChain$InterceptingDispatcher,"proceed/2[M,org.axonframework.messaging.core.unitofwork.ProcessingContext]",false,96,4,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/test/java/org/axonframework/messaging/core/annotation/AnnotationMessageTypeResolverTest.java,org.axonframework.messaging.core.annotation.AnnotationMessageTypeResolverTest$CustomAnnotationResolution,customAnnotationSpecificationIsHonored/0,false,217,6,0,0,0,1,5,8,0,4,0,5,0,0,0,0,0,0,6,0,4,0,0,0,0,0,15,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/test/java/org/axonframework/messaging/core/annotation/AnnotationMessageTypeResolverTest.java,org.axonframework.messaging.core.annotation.AnnotationMessageTypeResolverTest$CustomAnnotationResolution,CustomAnnotatedMessage/1[java.lang.String],false,247,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/examples/university-demo/src/main/java/org/axonframework/examples/demo/university/faculty/write/changecoursecapacity/ChangeCourseCapacityCommandHandler.java,org.axonframework.examples.demo.university.faculty.write.changecoursecapacity.ChangeCourseCapacityCommandHandler$State,evolve/1[org.axonframework.examples.demo.university.faculty.write.changecoursecapacity.CourseCreated],false,49,2,0,0,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/examples/university-demo/src/main/java/org/axonframework/examples/demo/university/faculty/write/changecoursecapacity/ChangeCourseCapacityCommandHandler.java,org.axonframework.examples.demo.university.faculty.write.changecoursecapacity.ChangeCourseCapacityCommandHandler$State,evolve/1[org.axonframework.examples.demo.university.faculty.write.changecoursecapacity.CourseCapacityChanged],false,55,2,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/examples/university-demo/src/main/java/org/axonframework/examples/demo/university/faculty/write/changecoursecapacity/ChangeCourseCapacityCommandHandler.java,org.axonframework.examples.demo.university.faculty.write.changecoursecapacity.ChangeCourseCapacityCommandHandler$State,State/0,true,45,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/test/java/org/axonframework/messaging/commandhandling/GenericCommandMessageTest.java,org.axonframework.messaging.commandhandling.GenericCommandMessageTest$WithConverter,withConverterPreservesMembers/0,false,168,3,1,0,1,1,13,12,0,2,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/test/java/org/axonframework/messaging/commandhandling/GenericCommandMessageTest.java,org.axonframework.messaging.commandhandling.GenericCommandMessageTest$WithConverter,payloadAsCachesConversion/0,false,140,3,1,0,1,1,8,8,0,3,0,8,0,0,0,0,0,0,0,1,3,0,0,0,0,0,19,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/test/java/org/axonframework/messaging/commandhandling/GenericCommandMessageTest.java,org.axonframework.messaging.commandhandling.GenericCommandMessageTest$WithConverter,payloadAsTypeRefInvokesConverter/0,false,127,4,1,0,1,1,7,8,0,2,0,7,0,0,0,0,0,0,0,0,2,0,0,1,0,0,19,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/test/java/org/axonframework/messaging/commandhandling/GenericCommandMessageTest.java,org.axonframework.messaging.commandhandling.GenericCommandMessageTest$WithConverter,payloadAsClassFailsWithConversionExceptionWithoutConverter/0,false,118,5,1,0,1,1,4,4,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/test/java/org/axonframework/messaging/commandhandling/GenericCommandMessageTest.java,org.axonframework.messaging.commandhandling.GenericCommandMessageTest$WithConverter,setUp/0,false,85,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/test/java/org/axonframework/messaging/commandhandling/GenericCommandMessageTest.java,org.axonframework.messaging.commandhandling.GenericCommandMessageTest$WithConverter,tearDown/0,false,90,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/test/java/org/axonframework/messaging/commandhandling/GenericCommandMessageTest.java,org.axonframework.messaging.commandhandling.GenericCommandMessageTest$WithConverter,payloadAsClassReturnsPayloadWithoutConversionOnSameType/0,false,95,3,1,0,1,1,5,5,0,2,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/test/java/org/axonframework/messaging/commandhandling/GenericCommandMessageTest.java,org.axonframework.messaging.commandhandling.GenericCommandMessageTest$WithConverter,payloadAsClassInvokesConverterOnDifferentType/0,false,106,3,1,0,1,1,7,6,0,2,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,21,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/test/java/org/axonframework/messaging/commandhandling/GenericCommandMessageTest.java,org.axonframework.messaging.commandhandling.GenericCommandMessageTest$WithConverter,withConverterReturnsNewInstanceOfSameConcreteType/0,false,154,3,1,0,1,1,5,5,0,2,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,21,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/common/src/main/java/org/axonframework/common/property/MethodAccessedProperty.java,org.axonframework.common.property.MethodAccessedProperty,"MethodAccessedProperty/2[java.lang.reflect.Method,java.lang.String]",true,45,1,1,0,1,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,24,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/common/src/main/java/org/axonframework/common/property/MethodAccessedProperty.java,org.axonframework.common.property.MethodAccessedProperty,getValue/1[T],false,52,3,1,0,1,3,5,11,1,0,1,5,0,0,0,0,1,0,4,0,0,1,1,0,0,0,22,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/test/java/org/axonframework/messaging/eventhandling/replay/ReplayBlockingEventHandlingComponentTest.java,org.axonframework.messaging.eventhandling.replay.ReplayBlockingEventHandlingComponentTest$EventHandling,handlesEventsOutsideReplay/0,false,93,3,2,0,2,1,5,5,0,1,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,11,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/test/java/org/axonframework/messaging/eventhandling/replay/ReplayBlockingEventHandlingComponentTest.java,org.axonframework.messaging.eventhandling.replay.ReplayBlockingEventHandlingComponentTest$EventHandling,handlesEventsWhenNoTrackingToken/0,false,105,5,3,0,3,1,7,6,0,2,0,7,0,0,0,0,0,0,2,0,2,0,0,0,0,0,15,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/test/java/org/axonframework/messaging/eventhandling/replay/ReplayBlockingEventHandlingComponentTest.java,org.axonframework.messaging.eventhandling.replay.ReplayBlockingEventHandlingComponentTest$EventHandling,blocksMultipleEventsDuringReplay/0,false,119,3,3,0,3,1,6,9,0,3,0,6,0,0,0,0,0,0,4,0,3,0,0,0,0,0,14,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/test/java/org/axonframework/messaging/eventhandling/replay/ReplayBlockingEventHandlingComponentTest.java,org.axonframework.messaging.eventhandling.replay.ReplayBlockingEventHandlingComponentTest$EventHandling,blocksEventsDuringReplay/0,false,81,3,2,0,2,1,5,5,0,1,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/test/java/org/axonframework/messaging/eventhandling/SimpleEventHandlingComponentTest.java,org.axonframework.messaging.eventhandling.SimpleEventHandlingComponentTest$ReplayStatusChangedHandlerTest,subscribedReplayStatusChangeHandlerIsInvoked/0,false,204,3,0,0,0,1,8,13,1,6,0,8,0,0,0,0,0,0,1,2,4,0,1,0,0,1,21,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/test/java/org/axonframework/messaging/eventhandling/SimpleEventHandlingComponentTest.java,org.axonframework.messaging.eventhandling.SimpleEventHandlingComponentTest$ReplayStatusChangedHandlerTest,sameReplayStatusChangeHandlerSubscribedTwiceIsInvokedOnlyOnce/0,false,224,3,0,0,0,1,8,14,1,6,0,8,0,0,0,0,0,0,1,2,4,0,1,0,0,1,25,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,"GenericDeadLetter/6[java.lang.Object,M,org.axonframework.messaging.deadletter.Cause,java.time.Instant,java.time.Instant,org.axonframework.messaging.deadletter.Metadata]",true,156,3,0,0,0,1,1,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,enqueuedAt/0,false,198,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,cause/0,false,193,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,"GenericDeadLetter/2[java.lang.Object,M]",true,62,1,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,"GenericDeadLetter/5[java.lang.Object,M,org.axonframework.messaging.deadletter.Cause,java.util.function.Supplier<java.time.Instant>,org.axonframework.messaging.deadletter.Context]",true,100,3,0,0,0,1,2,3,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,hashCode/0,false,260,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,"GenericDeadLetter/2[org.axonframework.messaging.deadletter.GenericDeadLetter<M>,org.axonframework.messaging.deadletter.Metadata]",true,120,3,3,0,3,1,5,3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,equals/1[java.lang.Object],false,242,1,0,0,0,4,2,10,3,1,1,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,"GenericDeadLetter/3[java.lang.Object,M,java.lang.Throwable]",true,75,1,0,0,0,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,message/0,false,188,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,withCause/1[java.lang.Throwable],false,223,3,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,"GenericDeadLetter/4[java.lang.Object,M,java.lang.Throwable,org.axonframework.messaging.deadletter.Context]",true,88,3,1,0,1,2,1,3,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,29,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,withDiagnostics/1[org.axonframework.messaging.deadletter.Metadata],false,228,4,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,lastTouched/0,false,203,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,getSequenceIdentifier/0,false,237,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,"GenericDeadLetter/2[org.axonframework.messaging.deadletter.GenericDeadLetter<M>,java.time.Instant]",true,110,2,3,0,3,1,4,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,context/0,false,213,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,"GenericDeadLetter/2[org.axonframework.messaging.deadletter.GenericDeadLetter<M>,java.lang.Throwable]",true,130,3,4,0,4,2,5,3,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,diagnostics/0,false,208,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,markTouched/0,false,218,3,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/AxonFramework__AxonFramework/messaging/src/main/java/org/axonframework/messaging/deadletter/GenericDeadLetter.java,org.axonframework.messaging.deadletter.GenericDeadLetter,"GenericDeadLetter/7[java.lang.Object,M,org.axonframework.messaging.deadletter.Cause,java.time.Instant,java.time.Instant,org.axonframework.messaging.deadletter.Metadata,org.axonframework.messaging.deadletter.Context]",true,177,4,0,0,0,1,1,9,0,0,7,1,0,0,0,0,0,0,1,0,7,0,0,0,0,0,42,1,0,true
